Movie,year,time_minute,imdb_rating,metascore,vote,gross_earning,certificates,genres
Pirates of the Caribbean: Dead Man's Chest,(2006),151 min,7.3,53        ,"703,025",$423.32M,PG-13,"
Action, Adventure, Fantasy            "
It,(I) (2017),135 min,7.3,69        ,"519,146",$327.48M,R,"
Horror            "
Titanic,(1997),194 min,7.9,75        ,"1,138,276",$659.33M,PG-13,"
Drama, Romance            "
The Outsiders,(1983),91 min,7.1,45        ,"84,705",$25.60M,PG,"
Crime, Drama            "
Blow,(2001),124 min,7.5,52        ,"257,422",$52.99M,R,"
Biography, Crime, Drama            "
The Suicide Squad,(2021),132 min,7.2,72        ,"331,886",-,R,"
Action, Adventure, Comedy            "
Pulp Fiction,(1994),154 min,8.9,94        ,"1,990,948",$107.93M,R,"
Crime, Drama            "
Inception,(2010),148 min,8.8,74        ,"2,278,668",$292.58M,PG-13,"
Action, Adventure, Sci-Fi            "
Requiem for a Dream,(2000),102 min,8.3,68        ,"823,611",$3.64M,R,"
Drama            "
Zombieland,(2009),88 min,7.6,73        ,"563,938",$75.59M,R,"
Action, Comedy, Horror            "
Fast Times at Ridgemont High,(1982),90 min,7.1,61        ,"103,765",$27.09M,R,"
Comedy, Drama            "
Sweeney Todd: The Demon Barber of Fleet Street,(2007),116 min,7.3,83        ,"363,896",$52.90M,R,"
Drama, Horror, Musical            "
1917,(2019),119 min,8.2,78        ,"554,673",$159.23M,R,"
Action, Drama, War            "
Downton Abbey,(2019),122 min,7.4,64        ,"53,880",$96.85M,PG,"
Drama, Romance            "
Zack Snyder's Justice League,(2021),242 min,8.0,54        ,"380,200",-,R,"
Action, Adventure, Fantasy            "
Edward Scissorhands,(1990),105 min,7.9,74        ,"479,947",$56.36M,PG-13,"
Drama, Fantasy, Romance            "
Back to the Future,(1985),116 min,8.5,87        ,"1,165,541",$210.61M,PG,"
Adventure, Comedy, Sci-Fi            "
The Lord of the Rings: The Fellowship of the Ring,(2001),178 min,8.8,92        ,"1,804,981",$315.54M,PG-13,"
Action, Adventure, Drama            "
Pirates of the Caribbean: On Stranger Tides,(2011),136 min,6.6,45        ,"517,197",$241.06M,PG-13,"
Action, Adventure, Fantasy            "
Murder on the Orient Express,(2017),114 min,6.5,52        ,"249,926",$102.83M,PG-13,"
Crime, Drama, Mystery            "
The Departed,(2006),151 min,8.5,85        ,"1,290,823",$132.38M,R,"
Crime, Drama, Thriller            "
Dear Evan Hansen,(2021),137 min,6.1,39        ,"12,883",-,PG-13,"
Drama, Musical            "
The Mortal Instruments: City of Bones,(2013),130 min,5.8,33        ,"132,486",$31.17M,PG-13,"
Action, Adventure, Fantasy            "
The Amazing Spider-Man,(2012),136 min,6.9,66        ,"641,488",$262.03M,PG-13,"
Action, Adventure, Sci-Fi            "
Tombstone,(1993),130 min,7.8,50        ,"145,220",$56.51M,R,"
Biography, Drama, History            "
Fight Club,(1999),139 min,8.8,66        ,"2,044,949",$37.03M,R,"
Drama            "
Wrath of Man,(2021),119 min,7.1,57        ,"164,035",-,R,"
Action, Crime, Thriller            "
Pirates of the Caribbean: At World's End,(2007),169 min,7.1,50        ,"638,135",$309.42M,PG-13,"
Action, Adventure, Fantasy            "
Shang-Chi and the Legend of the Ten Rings,(2021),132 min,7.4,71        ,"356,156",$224.54M,PG-13,"
Action, Adventure, Fantasy            "
Dazed and Confused,(1993),103 min,7.6,78        ,"180,816",$7.99M,R,"
Comedy            "
Joker,(I) (2019),122 min,8.4,59        ,"1,201,065",$335.45M,R,"
Crime, Drama, Thriller            "
Avengers: Infinity War,(2018),149 min,8.4,68        ,"1,022,201",$678.82M,PG-13,"
Action, Adventure, Sci-Fi            "
Alien,(1979),117 min,8.5,89        ,"856,952",$78.90M,R,"
Horror, Sci-Fi            "
House of Gucci,(2021),158 min,6.6,59        ,"106,076",-,R,"
Crime, Drama            "
Taxi Driver,(1976),114 min,8.2,94        ,"800,969",$28.26M,R,"
Crime, Drama            "
Never Back Down,(2008),113 min,6.5,39        ,"101,086",$24.85M,PG-13,"
Action, Drama, Sport            "
Mission: Impossible,(1996),110 min,7.1,59        ,"416,646",$180.98M,PG-13,"
Action, Adventure, Thriller            "
Fresh,(2022),114 min,6.7,67        ,"40,000",-,R,"
Comedy, Horror, Thriller            "
Nobody,(I) (2021),92 min,7.4,64        ,"228,416",$27.27M,R,"
Action, Crime, Drama            "
Thor: Ragnarok,(2017),130 min,7.9,74        ,"704,520",$315.06M,PG-13,"
Action, Adventure, Comedy            "
Se7en,(1995),127 min,8.6,65        ,"1,593,970",$100.13M,R,"
Crime, Drama, Mystery            "
The Godfather Part II,(1974),202 min,9.0,90        ,"1,235,752",$57.30M,R,"
Crime, Drama            "
West Side Story,(2021),156 min,7.2,85        ,"73,211",-,PG-13,"
Crime, Drama, Musical            "
F9: The Fast Saga,(2021),143 min,5.2,58        ,"124,702",$173.20M,PG-13,"
Action, Crime, Thriller            "
The Accountant,(2016),128 min,7.3,51        ,"290,393",$86.26M,R,"
Action, Thriller            "
Killer Joe,(2011),102 min,6.7,62        ,"77,668",$1.99M,R,"
Drama, Thriller            "
Black Widow,(2021),134 min,6.7,67        ,"354,790",$183.65M,PG-13,"
Action, Adventure, Sci-Fi            "
Star Wars: Episode VI - Return of the Jedi,(1983),131 min,8.3,58        ,"1,026,263",$309.13M,PG,"
Action, Adventure, Fantasy            "
Ghostbusters,(1984),105 min,7.8,71        ,"405,970",$238.63M,PG,"
Action, Comedy, Fantasy            "
The Many Saints of Newark,(2021),120 min,6.3,60        ,"50,517",-,R,"
Crime, Drama            "
Apocalypse Now,(1979),147 min,8.5,94        ,"653,188",$83.47M,R,"
Drama, Mystery, War            "
Guardians of the Galaxy,(2014),121 min,8.0,76        ,"1,144,861",$333.18M,PG-13,"
Action, Adventure, Comedy            "
Divergent,(2014),139 min,6.6,48        ,"452,771",$150.95M,PG-13,"
Action, Adventure, Mystery            "
Knives Out,(2019),130 min,7.9,82        ,"593,632",$165.36M,PG-13,"
Comedy, Crime, Drama            "
Juno,(2007),96 min,7.5,81        ,"515,864",$143.50M,PG-13,"
Comedy, Drama            "
The Hunger Games,(2012),142 min,7.2,68        ,"900,683",$408.01M,PG-13,"
Action, Adventure, Sci-Fi            "
Tusk,(I) (2014),102 min,5.3,55        ,"52,378",$1.82M,R,"
Comedy, Horror            "
Mad Max: Fury Road,(2015),120 min,8.1,90        ,"973,196",$154.06M,R,"
Action, Adventure, Sci-Fi            "
The Green Mile,(1999),189 min,8.6,61        ,"1,262,414",$136.80M,R,"
Crime, Drama, Fantasy            "
Legend,(I) (2015),132 min,6.9,55        ,"176,392",$1.87M,R,"
Biography, Crime, Drama            "
American Pie,(1999),95 min,7.0,58        ,"400,726",$102.56M,R,"
Comedy            "
Schindler's List,(1993),195 min,9.0,94        ,"1,321,023",$96.90M,R,"
Biography, Drama, History            "
Legend,(1985),94 min,6.3,30        ,"65,206",$15.50M,PG,"
Adventure, Fantasy, Romance            "
Inglourious Basterds,(2009),153 min,8.3,69        ,"1,400,156",$120.54M,R,"
Adventure, Drama, War            "
The Last Duel,(2021),152 min,7.4,67        ,"141,988",-,R,"
Action, Drama, History            "
The French Dispatch,(2021),107 min,7.2,74        ,"107,869",-,R,"
Comedy, Drama, Romance            "
Zootopia,(2016),108 min,8.0,78        ,"483,984",$341.27M,PG,"
Animation, Adventure, Comedy            "
Dead Poets Society,(1989),128 min,8.1,79        ,"474,468",$95.86M,PG,"
Comedy, Drama            "
Cop Land,(1997),105 min,7.0,64        ,"93,640",$44.89M,R,"
Crime, Drama, Thriller            "
The Silence of the Lambs,(1991),118 min,8.6,85        ,"1,390,365",$130.74M,R,"
Crime, Drama, Thriller            "
Heat,(1995),170 min,8.3,76        ,"636,442",$67.44M,R,"
Action, Crime, Drama            "
Independence Day,(1996),145 min,7.0,59        ,"564,680",$306.17M,PG-13,"
Action, Adventure, Sci-Fi            "
Oblivion,(I) (2013),124 min,7.0,54        ,"515,611",$89.02M,PG-13,"
Action, Adventure, Sci-Fi            "
Wild Things,(I) (1998),108 min,6.6,52        ,"119,641",$29.75M,R,"
Crime, Drama, Mystery            "
The Lost World: Jurassic Park,(1997),129 min,6.5,59        ,"408,777",$229.09M,PG-13,"
Action, Adventure, Sci-Fi            "
Tenet,(2020),150 min,7.3,69        ,"471,175",$58.46M,PG-13,"
Action, Adventure, Sci-Fi            "
Deadpool,(2016),108 min,8.0,65        ,"1,001,544",$363.07M,R,"
Action, Adventure, Comedy            "
Candyman,(2021),91 min,5.9,72        ,"57,742",-,R,"
Horror, Thriller            "
Star Wars: Episode V - The Empire Strikes Back,(1980),124 min,8.7,82        ,"1,256,297",$290.48M,PG,"
Action, Adventure, Fantasy            "
Pineapple Express,(2008),111 min,6.9,64        ,"335,612",$87.34M,R,"
Action, Comedy, Crime            "
Gone Girl,(2014),149 min,8.1,79        ,"955,269",$167.77M,R,"
Drama, Mystery, Thriller            "
The Witch,(2015),92 min,6.9,83        ,"247,667",$25.14M,R,"
Drama, Fantasy, History            "
Mission: Impossible - Rogue Nation,(2015),131 min,7.4,75        ,"366,148",$195.04M,PG-13,"
Action, Adventure, Thriller            "
Full Metal Jacket,(1987),116 min,8.3,76        ,"726,569",$46.36M,R,"
Drama, War            "
Run,(I) (2020),90 min,6.7,67        ,"72,049",-,PG-13,"
Mystery, Thriller            "
Eyes Wide Shut,(1999),159 min,7.5,68        ,"331,846",$55.69M,R,"
Drama, Mystery, Thriller            "
Only the Brave,(2017),134 min,7.6,72        ,"67,364",$18.34M,PG-13,"
Action, Biography, Drama            "
Predestination,(I) (2014),97 min,7.4,69        ,"277,879",$0.07M,R,"
Action, Drama, Sci-Fi            "
Once Upon a Time in America,(1984),229 min,8.3,75        ,"344,281",$5.32M,R,"
Crime, Drama            "
Venom: Let There Be Carnage,(2021),97 min,5.9,49        ,"204,680",$213.55M,PG-13,"
Action, Adventure, Sci-Fi            "
Gladiator,(2000),155 min,8.5,67        ,"1,459,288",$187.71M,R,"
Action, Adventure, Drama            "
Hereditary,(2018),127 min,7.3,87        ,"295,042",$44.07M,R,"
Drama, Horror, Mystery            "
Jack Reacher,(2012),130 min,7.0,50        ,"335,370",$80.07M,PG-13,"
Action, Mystery, Thriller            "
War of the Worlds,(2005),116 min,6.5,73        ,"442,174",$234.28M,PG-13,"
Action, Adventure, Sci-Fi            "
Lolita,(1997),137 min,6.8,46        ,"58,071",$1.40M,R,"
Drama, Romance            "
Justice League,(2017),120 min,6.1,45        ,"443,725",$229.02M,PG-13,"
Action, Adventure, Fantasy            "
Hacksaw Ridge,(2016),139 min,8.1,71        ,"505,022",$67.21M,R,"
Biography, Drama, History            "
Spider-Man: Homecoming,(2017),133 min,7.4,73        ,"631,833",$334.20M,PG-13,"
Action, Adventure, Sci-Fi            "
Léon: The Professional,(1994),110 min,8.5,64        ,"1,130,480",$19.50M,R,"
Action, Crime, Drama            "
Drive Angry,(2011),104 min,5.4,44        ,"99,101",$10.71M,R,"
Action, Fantasy, Thriller            "
Minamata,(2020),115 min,7.3,55        ,"18,395",-,R,"
Drama            "
What's Eating Gilbert Grape,(1993),118 min,7.7,73        ,"233,708",$9.17M,PG-13,"
Drama            "
Dodgeball: A True Underdog Story,(2004),92 min,6.7,55        ,"245,721",$114.33M,PG-13,"
Comedy, Sport            "
Crazy Rich Asians,(2018),120 min,6.9,74        ,"167,661",$174.53M,PG-13,"
Comedy, Drama, Romance            "
The Power of the Dog,(2021),126 min,6.8,89        ,"161,650",-,R,"
Drama, Romance, Western            "
The Crow,(1994),102 min,7.5,71        ,"180,665",$50.69M,R,"
Action, Crime, Drama            "
Harry Potter and the Deathly Hallows: Part 1,(2010),146 min,7.7,65        ,"533,634",$295.98M,PG-13,"
Adventure, Family, Fantasy            "
Yesterday,(III) (2019),116 min,6.8,55        ,"149,026",$73.29M,PG-13,"
Comedy, Fantasy, Music            "
Happy Gilmore,(1996),92 min,7.0,31        ,"219,929",$38.62M,PG-13,"
Comedy, Sport            "
The Silencing,(2020),93 min,6.2,-,"22,718",-,R,"
Action, Crime, Mystery            "
The Hunt,(II) (2020),90 min,6.5,50        ,"107,718",-,R,"
Action, Horror, Thriller            "
The Mummy,(1999),124 min,7.1,48        ,"421,134",$155.25M,PG-13,"
Action, Adventure, Fantasy            "
"Crazy, Stupid, Love.",(2011),118 min,7.4,68        ,"510,497",$84.35M,PG-13,"
Comedy, Drama, Romance            "
Django Unchained,(2012),165 min,8.4,81        ,"1,501,331",$162.81M,R,"
Drama, Western            "
Willy Wonka & the Chocolate Factory,(1971),100 min,7.8,67        ,"197,419",$4.00M,G,"
Family, Fantasy, Musical            "
The Matrix,(1999),136 min,8.7,73        ,"1,864,973",$171.48M,R,"
Action, Sci-Fi            "
Risky Business,(1983),99 min,6.8,75        ,"88,981",$63.50M,R,"
Comedy, Crime, Drama            "
Platoon,(1986),120 min,8.1,92        ,"408,034",$138.53M,R,"
Drama, War            "
Career Opportunities,(1991),83 min,5.8,41        ,"14,422",$11.34M,PG-13,"
Comedy, Romance            "
Twilight,(I) (2008),122 min,5.3,56        ,"455,326",$191.47M,PG-13,"
Drama, Fantasy, Romance            "
Fear and Loathing in Las Vegas,(1998),118 min,7.5,41        ,"278,322",$10.68M,R,"
Adventure, Comedy, Drama            "
The Blue Lagoon,(1980),104 min,5.8,31        ,"69,358",$58.85M,R,"
Adventure, Drama, Romance            "
A Few Good Men,(1992),138 min,7.7,62        ,"258,599",$141.34M,R,"
Drama, Thriller            "
The Lighthouse,(I) (2019),109 min,7.4,83        ,"204,350",$0.43M,R,"
Drama, Fantasy, History            "
The Dark Knight Rises,(2012),164 min,8.4,78        ,"1,658,696",$448.14M,PG-13,"
Action, Drama            "
Star Wars: Episode VII - The Force Awakens,(2015),138 min,7.8,80        ,"912,317",$936.66M,PG-13,"
Action, Adventure, Sci-Fi            "
Prisoners,(2013),153 min,8.1,70        ,"683,629",$61.00M,R,"
Crime, Drama, Mystery            "
The Irishman,(2019),209 min,7.8,94        ,"373,979",$7.00M,R,"
Biography, Crime, Drama            "
Solo: A Star Wars Story,(2018),135 min,6.9,62        ,"334,007",$213.77M,PG-13,"
Action, Adventure, Sci-Fi            "
Blacklight,(2022),104 min,4.7,27        ,"12,332",-,PG-13,"
Action, Thriller            "
Black Mass,(2015),123 min,6.9,68        ,"179,769",$62.58M,R,"
Biography, Crime, Drama            "
Magic Mike XXL,(2015),115 min,5.6,60        ,"56,007",$66.01M,R,"
Comedy, Drama, Music            "
Spider-Man,(2002),121 min,7.4,73        ,"797,961",$403.71M,PG-13,"
Action, Adventure, Sci-Fi            "
Sing,(2016),108 min,7.1,59        ,"163,326",$270.40M,PG,"
Animation, Comedy, Family            "
Star Wars: Episode VIII - The Last Jedi,(2017),152 min,6.9,84        ,"614,861",$620.18M,PG-13,"
Action, Adventure, Fantasy            "
Anchorman: The Legend of Ron Burgundy,(2004),94 min,7.1,63        ,"351,232",$85.29M,PG-13,"
Comedy            "
Harry Potter and the Goblet of Fire,(2005),157 min,7.7,81        ,"609,962",$290.01M,PG-13,"
Adventure, Family, Fantasy            "
Harry Potter and the Deathly Hallows: Part 2,(2011),130 min,8.1,85        ,"849,779",$381.01M,PG-13,"
Adventure, Fantasy, Mystery            "
The Grand Budapest Hotel,(2014),99 min,8.1,88        ,"784,225",$59.10M,R,"
Adventure, Comedy, Crime            "
Blade Runner,(1982),117 min,8.1,84        ,"751,665",$32.87M,R,"
Action, Drama, Sci-Fi            "
Edge of Tomorrow,(2014),113 min,7.9,71        ,"659,262",$100.21M,PG-13,"
Action, Adventure, Sci-Fi            "
Spider-Man: Into the Spider-Verse,(2018),117 min,8.4,87        ,"494,895",$190.24M,PG,"
Animation, Action, Adventure            "
Dark Shadows,(2012),113 min,6.2,55        ,"264,441",$79.73M,PG-13,"
Comedy, Fantasy, Horror            "
John Wick,(2014),101 min,7.4,68        ,"608,463",$43.04M,R,"
Action, Crime, Thriller            "
Red Notice,(2021),118 min,6.3,37        ,"259,115",-,PG-13,"
Action, Comedy, Thriller            "
Scarface,(1983),170 min,8.3,65        ,"814,288",$45.60M,R,"
Crime, Drama            "
Respect,(2021),145 min,6.5,61        ,"12,676",-,PG-13,"
Biography, Drama, Music            "
Her,(2013),126 min,8.0,91        ,"595,425",$25.57M,R,"
Drama, Romance, Sci-Fi            "
Metal Lords,(2022),97 min,6.7,59        ,"22,688",-,R,"
Comedy, Music            "
No Country for Old Men,(2007),122 min,8.2,92        ,"945,190",$74.28M,R,"
Crime, Drama, Thriller            "
The Greatest Showman,(2017),105 min,7.5,48        ,"273,361",$174.34M,PG,"
Biography, Drama, Musical            "
The Voyeurs,(2021),116 min,6.0,54        ,"18,923",-,R,"
Drama, Mystery, Thriller            "
The Shining,(1980),146 min,8.4,66        ,"989,175",$44.02M,R,"
Drama, Horror            "
The Princess Bride,(1987),98 min,8.0,77        ,"421,846",$30.86M,PG,"
Adventure, Family, Fantasy            "
12 Angry Men,(1957),96 min,9.0,96        ,"767,224",$4.36M,Approved,"
Crime, Drama            "
Pride & Prejudice,(2005),129 min,7.8,82        ,"288,848",$38.41M,PG,"
Drama, Romance            "
Archive,(2020),109 min,6.3,67        ,"20,272",-,TV-MA,"
Drama, Mystery, Sci-Fi            "
Aliens,(1986),137 min,8.4,84        ,"701,685",$85.16M,R,"
Action, Adventure, Sci-Fi            "
Identity,(2003),90 min,7.3,64        ,"243,898",$52.16M,R,"
Mystery, Thriller            "
Guardians of the Galaxy Vol. 2,(2017),136 min,7.6,67        ,"654,431",$389.81M,PG-13,"
Action, Adventure, Comedy            "
A Beautiful Mind,(2001),135 min,8.2,72        ,"913,622",$170.74M,PG-13,"
Biography, Drama            "
The Proposal,(I) (2009),108 min,6.7,48        ,"322,586",$163.96M,PG-13,"
Comedy, Drama, Romance            "
Kama Sutra: A Tale of Love,(1996),114 min,6.0,-,"10,642",$4.11M,R,"
Crime, Drama, History            "
Captain Marvel,(2019),123 min,6.8,64        ,"536,675",$426.83M,PG-13,"
Action, Adventure, Sci-Fi            "
Me Before You,(2016),106 min,7.4,51        ,"244,337",$56.25M,PG-13,"
Drama, Romance            "
Clueless,(1995),97 min,6.9,68        ,"210,084",$56.63M,PG-13,"
Comedy, Romance            "
Drive,(I) (2011),100 min,7.8,78        ,"620,711",$35.06M,R,"
Action, Drama            "
All the Boys Love Mandy Lane,(2006),90 min,5.5,44        ,"33,160",-,R,"
Horror, Mystery, Thriller            "
The Evil Dead,(1981),85 min,7.4,71        ,"205,293",$2.40M,NC-17,"
Horror            "
The Bubble,(2022),126 min,4.7,34        ,"21,497",-,R,"
Comedy            "
Batman Begins,(2005),140 min,8.2,70        ,"1,432,037",$206.85M,PG-13,"
Action, Crime, Drama            "
Suicide Squad,(2016),123 min,5.9,40        ,"673,846",$325.10M,PG-13,"
Action, Adventure, Fantasy            "
Fantastic Four,(2015),100 min,4.3,27        ,"164,530",$56.12M,PG-13,"
Action, Adventure, Sci-Fi            "
Mission: Impossible - Ghost Protocol,(2011),132 min,7.4,73        ,"482,505",$209.40M,PG-13,"
Action, Adventure, Thriller            "
Call Me by Your Name,(2017),132 min,7.8,93        ,"259,840",$18.10M,R,"
Drama, Romance            "
Thor,(2011),115 min,7.0,57        ,"821,479",$181.03M,PG-13,"
Action, Adventure, Fantasy            "
Public Enemies,(2009),140 min,7.0,70        ,"299,043",$97.10M,R,"
Action, Biography, Crime            "
Casino,(1995),178 min,8.2,73        ,"507,866",$42.44M,R,"
Crime, Drama            "
Doctor Sleep,(2019),152 min,7.3,59        ,"184,882",-,R,"
Drama, Fantasy, Horror            "
No Sudden Move,(2021),115 min,6.4,76        ,"32,642",-,R,"
Crime, Drama, Mystery            "
Indiana Jones and the Raiders of the Lost Ark,(1981),115 min,8.4,85        ,"946,201",$248.16M,PG,"
Action, Adventure            "
Stand by Me,(1986),89 min,8.1,75        ,"394,764",$52.29M,R,"
Adventure, Drama            "
After,(I) (2019),105 min,5.2,30        ,"52,668",$12.14M,PG-13,"
Drama, Romance            "
A League of Their Own,(1992),128 min,7.3,69        ,"105,162",$107.53M,PG,"
Comedy, Drama, Sport            "
Prometheus,(I) (2012),124 min,7.0,64        ,"600,273",$126.48M,R,"
Adventure, Mystery, Sci-Fi            "
A Simple Favor,(2018),117 min,6.8,67        ,"146,503",$53.55M,R,"
Comedy, Crime, Mystery            "
